ID,Team,Ignore,Closed,City,Disciplines,Website,AlternateNames,UniqueKeywords
158,O2 Cycling Club,,,Victoria,Road | CX | Track,www.facebook.com/groups/O2.cycling,,
159,Pink Bike Cycling,,,Victoria,Gravel | CX,pinkbikecycling.com,,
160,Platform Pro Racing Presented by InstaFund,,X,,Road,www.platformto.ca/platform-pro-cycling,InstaFund La Prima,
161,PMC Rides Club,,,Pitt Meadows,Road,pittcycle.com,,
162,PNW Racing,,,Vancouver,Road | CX,instagram.com/pnwracing.bike,,PNW
163,Pro City Racing,,,Victoria,CX | Road | Gravel | MTB XC | END,trekbikesvictoria.com,,
164,Project Instinct Cycling Team,,,Vancouver,Road | Gravel | Track,instinctracing.com,,
165,Red Kilo Cycling Team,,,Vancouver,Road | CX | Gravel | Track,www.instagram.com/red.kilo,"Red kilo,RedKilo","Red Kilo,Redkilo"
166,Red Truck Racing p/b Mosaic Homes,,,Vancouver,Road | Track | CX,redtruckracing.ca,"red truck racing,red truck racing pb mosaic homes",Red Truck
167,Ribble Rebellion,,X,,,,,
168,Ride2Survive Cycling Club,,,Delta,Road,ride2survive.ca,,
169,River City Cycle Club,,,Campbell River,MTB XC | Road | CX,rivercitycycle.ca,,
170,Rowdy Racing,,,Parksville,MTB XC | END | DH | Gravel | CX,@rowdyraceclub | Instagram,,
171,Royal Blue Cycling Club,,,Langley,Road | Gravel,instagram.com/royalbluecyclingclub,,
172,Ruckus Racing,,,Vancouver,Road | CX | MTB DH | END | Road | Track | MTB XC,www.instagram.com/ruckusrcng,"ruckus racing project, ruckus racing team",Ruckus
173,Samsara Cycle,,,Vancouver,Road | CX | Gravel | Track | MTB XC | DH | END,samsara-cycle.com,,Samsara
174,Sidney Velo Cycling Club,,,Victoria,Road,sidneyvelo.ca,,
175,Shareholders World Domination,,,,Road,,Shareholders,Shareholders
176,Steed Cycles Racing Team,,,North Vancouver,Road | Gravel | MTB XC | END |,steedcycles.com,,Steed
177,Steveston Velo,,,Richmond,Road | CX | Track | Other,stevestonvelo.com,Steveston Velo Cycling Club,Steveston Velo
178,TaG Cycling Race Team,,,Vancouver,Road,tagcycling.com/race-team,"tag cycling,tag race team,TaG Womens Cycling Mixed Team",Tag Cycling
179,Team Coastal Cycling Club,,,Surrey,Road | Gravel,teamcoastalcycling.com,,
180,Team Codger,,,Delta,Road | Gravel,,,
181,Team Giant Vancouver,,,Vancouver,CX | MTB END | XC | Gravel | Road,boccyclingteam.com,,
182,Team Island Water,,,Vancouver,Road,www.instagram.com/pvrcycling,"PVR-ACT Fast,PVR-ACTFast Racing,PVR-ActFAST",
183,Tempo Cycling Club,,,Kelowna,Road | Gravel,tempokelowna.cc,,
184,The Last Drop Cycling Club,,,Vancouver,Road | CX | Gravel | Road | Track | MTB XC,thelastdrop.cc,"the last drop,the last drop cycling team,the last drop cc",Last Drop
185,Thrashers,,,,Road | CX,thrashersbc.ca,,
186,TNRG Cycling Club,,,Sidney,Road | Gravel | CX,tnrg.ca,,
187,Trail Bicycles Cycling Team,,,Courtenay,MTB END | DH | CX | XC | Gravel | Road,trailbicycles.ca,,
188,Tri-City Cycling Club,,,Port Moody,Road,tccyclingclub.com,,
189,Tripleshot Cycling Club,,,Victoria,Road | CX | Track | MTB XC | DH,tripleshotcycling.ca,"tripleshot racing club,Triple Shot Cycling",Tripleshot
190,Tru Grit Racing,,,Vancouver,Road | Gravel | MTB XC | Track | CX,www.instagram.com/tgracing_yvr,"tru grit racing team,true grit racing,True Grit",Tru Grit
191,UBC Cycling Team,,,Vancouver,Road,recreation.ubc.ca/sport-clubs/cycling-sc,UBC Thunderbird Cycling Sport Club,UBC Cycling
192,United Velo,,,Surrey,Road | Gravel | CX,unitedvelo.ca,united velo cycling club,United Velo
193,UVic Cycling Club,,,Victoria,Road,,,
194,Vancouver Main Street Cycling,,,Vancouver,Road | Gravel,www.facebook.com/groups/1850842098510961/,,
195,Vancouver Velo Vets Cycling Club,,,Vancouver,Road,www.vancouvervelovets.org,,
196,Victoria Breakaway Cycling Club,,,Victoria,Road | CX | MTB XC | Gravel | Track,broadstreetcycles.com,victoria breakaway cycling,Victoria Breakaway
197,Victoria Cycling League,,,Victoria,Road,victoriacyclingleague.com,,
198,Victoria Wheelers,,,Victoria,Road | CX,victoriawheelers.ca,"Oak Bay Wheelers,Oak Bay Bikes",Victoria Wheelers
199,VP R2R Cycling Club,,,Vancouver,Road,,,
200,West Coast Gunners,,,Kelowna,Road,www.instagram.com/wcgunners,West Coast Gunners Cycling Club,
201,West Coast Cycling,,,Vancouver,Road | CX,westcoastcycling.ca,West Coast Cycling Club,
202,Whistler Cycling Club,,,Whistler,Road | Other,whistlercyclingclub.ca,,
203,WOWride Cycling Club,,,Vancouver,Road | Gravel | CX,wowridecycling.com,,
204,Action BMX Club,X,,Surrey,BMX,actionbmx.ca,,
205,C4 Racing powered by Norco & Corsa Cycles,X,,Squamish,MTB DH,C4 Racing | Facebook,,
206,Glotman Simpson Cycling,X,,Vancouver,Road | CX | Track,glotmansimpsoncycling.ca,,Glotman
207,GRAVITI DRIVEN,X,,Kamloops,MTB DH,gravitidriven.com,,
208,Gravity MTB Racing Team,X,,Comox,MTN DH | END,gravitymtb.ca,,
209,Instinct Development,X,,Whistler,MTB DH,Instinct Development,,
210,Nolan Riding,X,,Victoria,MTB END | DH | XC | CX,nolanriding.com/,,
211,North Okanagan Cycling Society Trail Ninjas,X,,Vernon,MTB XC,nocs.ca,,
212,RIDE OUTLAW,X,,Duncan,MTB DH | END,ridemtb.ca,,
213,Rock'n Roll Bikes,X,,North Vancouver,MTB END,@rocknrollbikeclub | Instagram,,
214,Ridge Meadows BMX,X,,Pitt Meadows,BMX,Ridge Meadows BMX | Facebook,,
215,Rippers Lounge Racing,X,,Vancouver,MTB DH | EDR,Rippers Lounge Racing | Facebook,,
216,SJB Bears Mtn Bike Team,X,,Abbotsford,MTB,SJB High School | Facebook,,
217,Sovereign Cycle,X,,West Kelowna,MTB DH | END,sovereigncycle.com,,
218,Squamish Cycling Club,X,,Squamish,MTB,,,
219,Team Squamish,X,,Squamish,MTB END | DH,teamsquamishcycling.com,,
220,Whistler Mountain Ski Club,X,,Whistler,MTB END | DH | XC | BMX,wmsc.info/mountain-bike-program-mtb,,
221,ZEP Racing,X,,Whistler,MTB DH | END,ZEP MTB Camps,,
